Longitud,Latitud,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septimbre,Octubre,Noviembre,Diciembre,Media,Media Calculada,Desviacion
-179.250,-87.750,-28.4,-40.1°,-53.0°,-56.5°,-56.9°,-57.4°,-59.2°,-59.3°,-59.0°,-50.6°,-38.5°,-28.4°,-43.0,-48.9,5.9
-179.250,-88.250,-29.1,-41.1°,-54.3°,-57.7°,-58.1°,-58.6°,-60.1°,-60.2°,-60.0°,-51.5°,-39.3°,-29.1°,-50.0,-49.9,-0.1
-179.250,-88.750,-29.1,-41.3°,-54.6°,-58.1°,-58.3°,-58.8°,-60.3°,-60.3°,-60.2°,-51.6°,-39.4°,-29.0°,-50.2,-50.1,-0.1
-179.250,-89.250,-28.5,-40.9°,-54.2°,-57.7°,-57.9°,-58.4°,-59.8°,-59.8°,-59.7°,-51.2°,-38.9°,-28.5°,-49.7,-49.6,-0.1
-179.250,-89.750,-27.7,-40.2°,-53.6°,-57.0°,-57.2°,-57.7°,-59.1°,-59.1°,-59.0°,-50.5°,-38.1°,-27.7°,-44.0,-48.9,4.9
-178.750,71.250,-23.3,-25.9°,-24.6°,-17.9°,-7.2°,0.0°,1.8°,1.3°,-1.8°,-8.5°,-16.1°,-22.5°,-11.9,-12.1,0.2
-178.750,68.250,-23.5,-25.3°,-23.2°,-17.2°,-6.6°,2.1°,5.1°,4.1°,0.4°,-7.4°,-15.1°,-22.3°,-10.7,-10.7,0.0
-178.750,67.750,-23.1,-24.1°,-21.7°,-16.6°,-7.0°,1.9°,5.2°,4.4°,0.7°,-6.7°,-14.2°,-21.3°,-10.2,-10.2,0.0
-178.750,67.250,-21.2,-21.4°,-19.4°,-14.4°,-5.8°,3.3°,6.8°,6.3°,2.2°,-4.8°,-12.1°,-19.0°,-8.2,-8.3,0.1
-178.750,66.750,-22.4,-21.7°,-20.8°,-14.9°,-7.3°,1.4°,5.4°,5.2°,0.4°,-6.0°,-13.4°,-19.6°,-9.4,-9.5,0.1
-178.750,66.250,-20.3,-19.3°,-19.4°,-12.5°,-5.2°,3.1°,7.5°,7.4°,2.1°,-4.4°,-11.9°,-17.5°,-7.4,-7.5,0.1
-178.750,-84.750,-19.4,-27.8°,-38.8°,-43.6°,-44.9°,-44.8°,-48.5°,-48.8°,-47.7°,-38.9°,-28.0°,-19.4°,-37.5,-37.6,0.1
-178.750,-85.250,-23.1,-32.1°,-43.4°,-47.9°,-49.2°,-49.0°,-52.5°,-52.7°,-51.8°,-43.1°,-32.0°,-23.2°,-41.7,-41.7,0.0
-178.750,-85.750,-22.8,-32.4°,-43.9°,-48.2°,-49.2°,-49.2°,-52.4°,-52.6°,-51.8°,-43.1°,-31.9°,-22.8°,-41.8,-41.7,-0.1
