Longitud,Latitud,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septimbre,Octubre,Noviembre,Diciembre,Media,Media Calculada,Desviacion
-176.250,-89.750,-27.7,-40.2°,-53.6°,-57.0°,-57.2°,-57.7°,-59.1°,-59.1°,-59.0°,-50.5°,-38.1°,-27.7°,-49.0,-48.9,-0.1
-175.750,67.750,-22.3,-23.3°,-17.1°,-17.2°,-7.4°,2.7°,5.8°,4.7°,2.8°,-4.7°,-11.6°,-20.5°,-9.0,-9.0,0.0
-175.750,67.250,-22.3,-22.9°,-15.5°,-17.3°,-7.9°,2.8°,5.8°,4.8°,3.1°,-4.1°,-10.9°,-20.2°,-8.6,-8.7,0.1
-175.750,66.750,-22.2,-22.7°,-14.9°,-17.1°,-7.9°,2.6°,5.8°,4.8°,3.1°,-4.0°,-10.7°,-20.0°,-8.6,-8.6,0.0
-175.750,66.250,-22.3,-22.9°,-16.3°,-17.1°,-8.4°,1.6°,4.9°,4.0°,2.0°,-4.8°,-11.6°,-20.3°,-9.2,-9.3,0.1
-175.750,65.750,-19.4,-20.4°,-15.5°,-14.4°,-5.7°,3.0°,6.4°,5.6°,3.0°,-3.6°,-10.0°,-17.7°,-7.3,-7.4,0.1
-175.750,65.250,-15.1,-16.6°,-14.1°,-10.2°,-2.1°,4.2°,7.7°,7.4°,3.9°,-2.1°,-7.7°,-13.9°,-4.8,-4.9,0.1
-175.750,-84.750,-15.2,-23.6°,-34.5°,-39.3°,-40.6°,-40.4°,-44.3°,-44.5°,-43.5°,-34.7°,-23.8°,-15.3°,-33.3,-33.3,0.0
-175.750,-85.250,-17.2,-26.1°,-37.4°,-41.9°,-43.2°,-43.1°,-46.5°,-46.7°,-45.8°,-37.2°,-26.1°,-17.3°,-35.7,-35.7,0.0
-175.750,-85.750,-23.5,-33.0°,-44.6°,-48.9°,-49.9°,-49.9°,-53.1°,-53.3°,-52.5°,-43.9°,-32.6°,-23.5°,-42.5,-42.4,-0.1
-175.750,-86.250,-24.6,-34.8°,-46.7°,-50.8°,-51.5°,-51.7°,-54.4°,-54.7°,-54.0°,-45.4°,-34.1°,-24.5°,-47.0,-43.9,-3.1
-175.750,-86.750,-26.6,-37.4°,-49.8°,-53.6°,-54.2°,-54.4°,-56.8°,-57.0°,-56.5°,-48.0°,-36.3°,-26.5°,-46.5,-46.4,-0.1
-175.750,-87.250,-27.4,-38.7°,-51.4°,-55.0°,-55.4°,-55.8°,-57.9°,-58.0°,-57.7°,-49.1°,-37.3°,-27.4°,-47.7,-47.6,-0.1
-175.750,-87.750,-28.3,-40.0°,-52.9°,-56.5°,-56.9°,-57.3°,-59.1°,-59.2°,-58.9°,-50.5°,-38.4°,-28.3°,-48.9,-48.9,0.0
-175.750,-88.250,-29.1,-41.1°,-54.3°,-57.7°,-58.0°,-58.5°,-60.2°,-60.2°,-60.1°,-51.5°,-39.4°,-29.1°,-50.0,-49.9,-0.1
-175.750,-88.750,-29.0,-41.2°,-54.5°,-58.0°,-58.2°,-58.7°,-60.2°,-60.2°,-60.1°,-51.5°,-39.4°,-28.9°,-50.1,-50.0,-0.1
-175.750,-89.250,-28.4,-40.8°,-54.1°,-57.5°,-57.7°,-58.3°,-59.7°,-59.7°,-59.6°,-51.1°,-38.8°,-28.4°,-49.6,-49.5,-0.1
-175.750,-89.750,-27.7,-40.2°,-53.6°,-57.0°,-57.2°,-57.7°,-59.1°,-59.1°,-59.0°,-50.5°,-38.1°,-27.7°,-49.0,-48.9,-0.1
-175.250,67.250,-22.3,-22.9°,-14.8°,-17.4°,-8.0°,2.8°,5.9°,4.8°,3.4°,-3.8°,-10.5°,-20.2°,-8.5,-8.6,0.1
-175.250,66.750,-22.4,-23.0°,-14.7°,-17.6°,-8.3°,2.5°,5.7°,4.5°,3.2°,-4.0°,-10.6°,-20.3°,-8.7,-8.8,0.1
-175.250,66.250,-21.1,-21.9°,-15.3°,-16.0°,-7.1°,2.7°,6.1°,5.0°,3.2°,-3.7°,-10.3°,-19.0°,-8.1,-8.1,0.0
-175.250,65.750,-19.5,-20.8°,-15.8°,-14.6°,-5.8°,2.7°,6.1°,5.2°,2.7°,-3.9°,-10.2°,-17.8°,-7.5,-7.6,0.1
-175.250,65.250,-18.4,-20.2°,-17.5°,-13.6°,-5.4°,0.9°,4.5°,4.0°,0.7°,-5.3°,-11.1°,-17.2°,-8.2,-8.2,0.0
-175.250,-84.750,-16.7,-25.1°,-36.1°,-40.8°,-42.1°,-41.9°,-45.8°,-46.0°,-45.0°,-36.2°,-25.4°,-16.8°,-34.8,-34.8,0.0
-175.250,-85.250,-21.4,-30.3°,-41.6°,-46.1°,-47.4°,-47.2°,-50.7°,-50.9°,-50.1°,-41.4°,-30.3°,-21.5°,-39.9,-39.9,0.0
-175.250,-85.750,-23.6,-33.3°,-44.8°,-49.0°,-50.1°,-50.1°,-53.1°,-53.4°,-52.7°,-44.0°,-32.8°,-23.7°,-42.7,-42.6,-0.1
-175.250,-86.250,-24.5,-34.7°,-46.7°,-50.7°,-51.4°,-51.6°,-54.3°,-54.6°,-54.0°,-45.3°,-34.0°,-24.4°,-44.0,-43.9,-0.1
-175.250,-86.750,-26.5,-37.4°,-49.7°,-53.5°,-54.1°,-54.4°,-56.7°,-56.9°,-56.5°,-47.9°,-36.3°,-26.4°,-46.5,-46.4,-0.1
-175.250,-87.250,-27.3,-38.6°,-51.2°,-54.9°,-55.3°,-55.7°,-57.8°,-57.9°,-57.5°,-49.0°,-37.2°,-27.3°,-47.6,-47.5,-0.1
-175.250,-87.750,-28.3,-40.0°,-52.9°,-56.4°,-56.8°,-57.2°,-59.1°,-59.2°,-58.9°,-50.5°,-38.4°,-28.3°,-48.9,-48.8,-0.1
-175.250,-88.250,-29.1,-41.1°,-54.3°,-57.7°,-58.0°,-58.5°,-60.2°,-60.2°,-60.0°,-51.5°,-39.4°,-29.1°,-50.0,-49.9,-0.1
-175.250,-88.750,-29.0,-41.3°,-54.5°,-57.9°,-58.1°,-58.7°,-60.2°,-60.2°,-60.1°,-51.5°,-39.3°,-28.9°,-50.1,-50.0,-0.1
-175.250,-89.250,-28.4,-40.8°,-54.1°,-57.5°,-57.7°,-58.3°,-59.6°,-59.6°,-59.5°,-51.1°,-38.8°,-28.4°,-49.6,-49.5,-0.1
-175.250,-89.750,-27.7,-40.2°,-53.6°,-57.0°,-57.2°,-57.7°,-59.1°,-59.1°,-59.0°,-50.5°,-38.1°,-27.7°,-49.0,-48.9,-0.1
-174.750,67.250,-22.4,-22.8°,-14.1°,-17.7°,-8.2°,2.9°,6.0°,4.7°,3.7°,-3.6°,-10.3°,-20.2°,-9.5,-8.5,-1.0
-174.750,66.750,-21.9,-22.6°,-14.0°,-17.3°,-7.9°,2.9°,6.1°,4.9°,3.7°,-3.4°,-10.1°,-19.9°,-8.3,-8.3,0.0
-174.750,66.250,-21.2,-22.3°,-15.7°,-16.3°,-7.4°,2.4°,5.7°,4.6°,2.9°,-4.0°,-10.6°,-19.2°,-8.4,-8.4,0.0
-174.750,65.750,-19.2,-20.7°,-16.0°,-14.2°,-5.5°,2.6°,6.1°,5.4°,2.8°,-3.8°,-10.2°,-17.4°,-7.4,-7.5,0.1
-174.750,65.250,-16.7,-18.5°,-15.9°,-11.8°,-3.7°,2.7°,6.3°,5.8°,2.5°,-3.4°,-9.3°,-15.4°,-6.4,-6.5,0.1
-174.750,-84.750,-14.4,-22.8°,-33.7°,-38.5°,-39.8°,-39.6°,-43.4°,-43.7°,-42.7°,-33.9°,-23.1°,-14.5°,-32.5,-32.5,0.0
-174.750,-85.250,-21.6,-30.5°,-41.7°,-46.2°,-47.5°,-47.3°,-50.8°,-51.0°,-50.2°,-41.5°,-30.4°,-21.6°,-40.0,-40.0,0.0
-174.750,-85.750,-23.8,-33.4°,-44.9°,-49.1°,-50.2°,-50.1°,-53.2°,-53.5°,-52.8°,-44.1°,-32.9°,-23.8°,-42.8,-42.7,-0.1
-174.750,-86.250,-24.5,-34.7°,-46.6°,-50.6°,-51.3°,-51.5°,-54.2°,-54.5°,-53.9°,-45.3°,-33.8°,-24.4°,-43.9,-43.8,-0.1
-174.750,-86.750,-26.5,-37.3°,-49.7°,-53.4°,-54.1°,-54.3°,-56.7°,-56.9°,-56.4°,-47.9°,-36.2°,-26.4°,-46.4,-46.3,-0.1
-174.750,-87.250,-27.2,-38.5°,-51.1°,-54.8°,-55.2°,-55.6°,-57.7°,-57.8°,-57.4°,-48.9°,-37.1°,-27.2°,-47.5,-47.4,-0.1
-174.750,-87.750,-28.3,-40.0°,-52.9°,-56.4°,-56.8°,-57.3°,-59.1°,-59.2°,-58.9°,-50.5°,-38.4°,-28.3°,-48.9,-48.8,-0.1
-174.750,-88.250,-29.1,-41.2°,-54.3°,-57.7°,-58.0°,-58.5°,-60.2°,-60.2°,-60.0°,-51.5°,-39.4°,-29.1°,-50.0,-49.9,-0.1
-174.750,-88.750,-29.0,-41.3°,-54.5°,-57.9°,-58.1°,-58.7°,-60.1°,-60.2°,-60.0°,-51.5°,-39.2°,-28.9°,-50.1,-50.0,-0.1
-174.750,-89.250,-28.3,-40.7°,-54.1°,-57.5°,-57.7°,-58.2°,-59.6°,-59.6°,-59.5°,-51.1°,-38.7°,-28.3°,-49.5,-49.4,-0.1
-174.750,-89.750,-27.7,-40.2°,-53.6°,-57.0°,-57.2°,-57.7°,-59.1°,-59.1°,-59.0°,-50.5°,-38.1°,-27.7°,-49.0,-48.9,-0.1
-174.250,66.250,-20.6,-21.6°,-15.1°,-15.6°,-6.6°,3.0°,6.4°,5.4°,3.6°,-3.3°,-9.9°,-18.4°,-7.7,-7.7,0.0
-174.250,65.750,-20.4,-22.0°,-17.7°,-15.4°,-6.8°,1.1°,4.7°,4.0°,1.3°,-5.1°,-11.6°,-18.7°,-8.8,-8.9,0.1
-174.250,65.250,-18.0,-19.8°,-17.3°,-12.9°,-4.8°,1.5°,5.3°,4.8°,1.4°,-4.7°,-10.6°,-16.6°,-7.6,-7.6,0.0
-174.250,64.750,-13.8,-15.9°,-14.1°,-9.3°,-1.4°,3.9°,7.7°,7.4°,3.8°,-2.0°,-7.4°,-12.9°,-4.3,-4.5,0.2
-174.250,-82.750,-5.0,-12.0°,-22.0°,-27.5°,-29.2°,-28.6°,-33.4°,-33.7°,-32.4°,-23.4°,-13.1°,-5.0°,-25.2,-22.1,-3.1
-174.250,-84.750,-13.3,-21.7°,-32.6°,-37.3°,-38.7°,-38.4°,-42.3°,-42.5°,-41.6°,-32.8°,-21.9°,-13.4°,-31.4,-31.4,0.0
-174.250,-85.250,-22.8,-31.7°,-42.9°,-47.4°,-48.6°,-48.5°,-52.0°,-52.2°,-51.4°,-42.7°,-31.6°,-22.8°,-41.2,-41.2,0.0
-174.250,-85.750,-23.9,-33.5°,-45.0°,-49.2°,-50.2°,-50.2°,-53.3°,-53.6°,-52.9°,-44.2°,-33.0°,-23.9°,-42.9,-42.7,-0.2
-174.250,-86.250,-24.5,-34.7°,-46.6°,-50.6°,-51.3°,-51.5°,-54.2°,-54.5°,-53.9°,-45.3°,-33.8°,-24.4°,-43.9,-43.8,-0.1
-174.250,-86.750,-26.4,-37.2°,-49.6°,-53.4°,-54.0°,-54.2°,-56.6°,-56.8°,-56.3°,-47.8°,-36.1°,-26.3°,-46.3,-46.2,-0.1
-174.250,-87.250,-27.1,-38.4°,-51.0°,-54.6°,-55.1°,-55.5°,-57.6°,-57.7°,-57.3°,-48.8°,-37.0°,-27.1°,-47.3,-47.3,0.0
-174.250,-87.750,-28.3,-40.0°,-52.9°,-56.4°,-56.8°,-57.2°,-59.1°,-59.2°,-58.8°,-50.4°,-38.4°,-28.3°,-48.9,-48.8,-0.1
-174.250,-88.250,-29.1,-41.2°,-54.3°,-57.7°,-58.0°,-58.6°,-60.2°,-60.2°,-60.0°,-51.6°,-39.4°,-29.1°,-50.0,-50.0,0.0
-174.250,-88.750,-29.0,-41.2°,-54.4°,-57.8°,-58.1°,-58.6°,-60.1°,-60.1°,-60.0°,-51.4°,-39.2°,-28.8°,-50.0,-49.9,-0.1
-174.250,-89.250,-28.3,-40.7°,-54.1°,-57.5°,-57.6°,-58.2°,-59.6°,-59.6°,-59.5°,-51.0°,-38.7°,-28.3°,-49.5,-49.4,-0.1
-174.250,-89.750,-27.7,-40.2°,-53.6°,-57.0°,-57.2°,-57.7°,-59.1°,-59.1°,-59.0°,-50.5°,-38.1°,-27.7°,-49.0,-48.9,-0.1
-173.750,66.750,-22.3,-22.8°,-14.4°,-17.6°,-8.3°,2.7°,5.9°,4.5°,3.4°,-3.6°,-10.3°,-20.0°,-8.6,-8.6,0.0
-173.750,66.250,-21.3,-22.3°,-16.2°,-16.1°,-7.2°,2.2°,5.6°,4.6°,2.7°,-4.0°,-10.8°,-19.0°,-8.4,-8.5,0.1
-173.750,65.750,-18.5,-20.1°,-16.0°,-13.2°,-4.7°,3.1°,6.7°,6.0°,3.2°,-3.2°,-9.7°,-16.6°,-6.8,-6.9,0.1
-173.750,65.250,-16.3,-18.2°,-15.8°,-11.1°,-3.0°,3.3°,7.1°,6.6°,3.2°,-2.9°,-9.0°,-14.8°,-5.8,-5.9,0.1
-173.750,64.750,-14.9,-16.9°,-15.2°,-10.1°,-1.9°,3.5°,7.3°,7.0°,3.2°,-2.8°,-8.4°,-14.0°,-5.1,-5.3,0.2
-173.750,-84.750,-14.3,-22.7°,-33.6°,-38.3°,-39.7°,-39.4°,-43.3°,-43.5°,-42.6°,-33.8°,-23.0°,-14.4°,-32.4,-32.4,0.0
-173.750,-85.250,-23.3,-32.2°,-43.4°,-47.9°,-49.1°,-49.0°,-52.5°,-52.8°,-51.9°,-43.2°,-32.2°,-23.4°,-41.8,-41.7,-0.1
-173.750,-85.750,-24.0,-33.6°,-45.1°,-49.3°,-50.3°,-50.3°,-53.4°,-53.7°,-53.0°,-44.4°,-33.1°,-24.0°,-43.0,-42.9,-0.1
-173.750,-86.250,-24.4,-34.6°,-46.5°,-50.6°,-51.3°,-51.5°,-54.2°,-54.4°,-53.8°,-45.2°,-33.8°,-24.3°,-43.8,-43.7,-0.1
-173.750,-86.750,-26.3,-37.1°,-49.5°,-53.2°,-53.8°,-54.1°,-56.4°,-56.6°,-56.2°,-47.7°,-36.0°,-26.2°,-46.2,-46.1,-0.1
-173.750,-87.250,-27.0,-38.3°,-50.9°,-54.5°,-55.0°,-55.4°,-57.5°,-57.6°,-57.2°,-48.7°,-36.9°,-27.0°,-47.3,-47.2,-0.1
-173.750,-87.750,-28.3,-39.9°,-52.9°,-56.4°,-56.8°,-57.2°,-59.0°,-59.1°,-58.8°,-50.4°,-38.3°,-28.3°,-48.8,-48.8,0.0
-173.750,-88.250,-29.1,-41.2°,-54.3°,-57.7°,-58.0°,-58.6°,-60.2°,-60.2°,-60.0°,-51.6°,-39.4°,-29.1°,-50.0,-50.0,0.0
-173.750,-88.750,-28.9,-41.2°,-54.4°,-57.8°,-58.0°,-58.6°,-60.1°,-60.1°,-60.0°,-51.4°,-39.2°,-28.8°,-50.0,-49.9,-0.1
-173.750,-89.250,-28.3,-40.7°,-54.0°,-57.5°,-57.6°,-58.2°,-59.6°,-59.6°,-59.5°,-51.0°,-38.7°,-28.3°,-49.5,-49.4,-0.1
-173.750,-89.750,-27.7,-40.2°,-53.6°,-57.0°,-57.2°,-57.7°,-59.1°,-59.1°,-59.0°,-50.5°,-38.1°,-27.7°,-49.0,-48.9,-0.1
-173.250,66.750,-22.2,-22.7°,-14.7°,-17.3°,-8.0°,2.6°,5.9°,4.7°,3.5°,-3.5°,-10.3°,-19.7°,-8.5,-8.5,0.0
-173.250,66.250,-20.7,-21.8°,-16.2°,-15.3°,-6.5°,2.6°,6.1°,5.2°,3.0°,-3.6°,-10.4°,-18.3°,-7.9,-8.0,0.1
-173.250,65.750,-18.4,-20.1°,-16.3°,-12.8°,-4.5°,3.1°,6.8°,6.1°,3.2°,-3.2°,-9.8°,-16.3°,-6.8,-6.9,0.1
-173.250,65.250,-17.6,-19.5°,-17.2°,-12.2°,-4.2°,2.1°,5.9°,5.4°,1.9°,-4.2°,-10.3°,-15.9°,-7.1,-7.2,0.1
-173.250,64.750,-14.2,-16.2°,-14.5°,-9.3°,-1.1°,4.3°,8.1°,7.8°,4.0°,-2.0°,-7.7°,-13.3°,-4.4,-4.5,0.1
-173.250,-84.750,-15.1,-23.5°,-34.4°,-39.1°,-40.4°,-40.2°,-44.0°,-44.2°,-43.4°,-34.5°,-23.7°,-15.2°,-33.2,-33.1,-0.1
-173.250,-85.250,-22.7,-31.5°,-42.8°,-47.2°,-48.5°,-48.3°,-51.8°,-52.0°,-51.2°,-42.6°,-31.5°,-22.7°,-41.1,-41.1,0.0
-173.250,-85.750,-24.1,-33.7°,-45.2°,-49.4°,-50.5°,-50.5°,-53.5°,-53.8°,-53.1°,-44.5°,-33.2°,-24.1°,-43.1,-43.0,-0.1
-173.250,-86.250,-24.3,-34.5°,-46.4°,-50.4°,-51.2°,-51.3°,-54.0°,-54.3°,-53.7°,-45.1°,-33.8°,-24.2°,-43.7,-43.6,-0.1
-173.250,-86.750,-25.9,-36.6°,-48.8°,-52.7°,-53.3°,-53.6°,-56.0°,-56.2°,-55.7°,-47.2°,-35.6°,-25.8°,-45.7,-45.6,-0.1
-173.250,-87.250,-26.9,-38.2°,-50.9°,-54.5°,-54.9°,-55.3°,-57.4°,-57.6°,-57.2°,-48.7°,-36.9°,-26.9°,-47.2,-47.1,-0.1
-173.250,-87.750,-28.2,-39.9°,-52.8°,-56.3°,-56.7°,-57.1°,-59.0°,-59.1°,-58.8°,-50.4°,-38.3°,-28.2°,-48.8,-48.7,-0.1
-173.250,-88.250,-29.1,-41.2°,-54.3°,-57.7°,-58.0°,-58.6°,-60.2°,-60.2°,-60.0°,-51.6°,-39.4°,-29.1°,-50.0,-50.0,0.0
-173.250,-88.750,-28.9,-41.0°,-54.4°,-57.8°,-58.0°,-58.6°,-60.1°,-60.1°,-59.9°,-51.4°,-39.1°,-28.8°,-50.0,-49.8,-0.2
-173.250,-89.250,-28.3,-40.7°,-54.0°,-57.5°,-57.6°,-58.2°,-59.6°,-59.6°,-59.5°,-51.0°,-38.7°,-28.3°,-49.5,-49.4,-0.1
-173.250,-89.750,-27.7,-40.2°,-53.6°,-57.0°,-57.2°,-57.7°,-59.1°,-59.1°,-59.0°,-50.5°,-38.1°,-27.7°,-49.0,-48.9,-0.1
-172.750,66.750,-22.7,-23.3°,-16.2°,-17.6°,-8.3°,1.6°,5.1°,4.0°,2.5°,-4.4°,-11.2°,-20.1°,-9.2,-9.2,0.0
-172.750,66.250,-20.8,-22.1°,-17.1°,-15.2°,-6.5°,2.1°,5.7°,4.8°,2.5°,-4.0°,-10.8°,-18.3°,-8.2,-8.3,0.1
-172.750,65.750,-18.5,-20.1°,-16.8°,-12.6°,-4.5°,2.9°,6.8°,6.0°,3.0°,-3.4°,-10.1°,-16.1°,-6.9,-7.0,0.1
-172.750,65.250,-16.8,-18.7°,-16.5°,-11.1°,-3.4°,3.0°,6.9°,6.3°,2.9°,-3.1°,-9.5°,-14.9°,-6.2,-6.2,0.0
-172.750,64.750,-14.0,-16.1°,-14.4°,-9.1°,-1.1°,4.4°,8.3°,8.0°,4.3°,-1.7°,-7.4°,-12.9°,-4.2,-4.3,0.1
-172.750,-83.250,-5.3,-12.5°,-22.7°,-27.9°,-29.6°,-29.2°,-33.6°,-34.0°,-32.8°,-23.9°,-13.4°,-5.3°,-22.5,-22.5,0.0
-172.750,-84.750,-13.9,-22.3°,-33.1°,-37.8°,-39.2°,-39.0°,-42.8°,-43.0°,-42.1°,-33.3°,-22.6°,-14.0°,-32.0,-31.9,-0.1
-172.750,-85.250,-22.6,-31.5°,-42.7°,-47.2°,-48.3°,-48.3°,-51.8°,-51.9°,-51.2°,-42.5°,-31.5°,-22.7°,-41.0,-41.0,0.0
-172.750,-85.750,-24.2,-33.8°,-45.3°,-49.5°,-50.6°,-50.6°,-53.6°,-54.0°,-53.2°,-44.6°,-33.4°,-24.2°,-43.2,-43.1,-0.1
-172.750,-86.250,-24.3,-34.4°,-46.3°,-50.4°,-51.1°,-51.3°,-54.0°,-54.1°,-53.7°,-45.0°,-33.7°,-24.2°,-43.6,-43.5,-0.1
-172.750,-86.750,-25.8,-36.4°,-48.7°,-52.5°,-53.2°,-53.4°,-55.8°,-56.0°,-55.5°,-47.0°,-35.4°,-25.7°,-45.5,-45.5,0.0
-172.750,-87.250,-26.9,-38.2°,-50.8°,-54.4°,-54.9°,-55.3°,-57.3°,-57.5°,-57.1°,-48.6°,-36.8°,-26.9°,-47.1,-47.1,0.0
-172.750,-87.750,-28.2,-39.9°,-52.8°,-56.3°,-56.7°,-57.1°,-59.0°,-59.1°,-58.8°,-50.4°,-38.3°,-28.2°,-48.8,-48.7,-0.1
-172.750,-88.250,-29.2,-41.2°,-54.3°,-57.7°,-58.0°,-58.6°,-60.2°,-60.2°,-60.0°,-51.6°,-39.4°,-29.1°,-50.0,-50.0,0.0
-172.750,-88.750,-28.9,-41.0°,-54.3°,-57.8°,-58.0°,-58.6°,-60.0°,-60.1°,-59.9°,-51.4°,-39.1°,-28.8°,-50.0,-49.8,-0.2
-172.750,-89.250,-28.3,-40.7°,-54.0°,-57.4°,-57.6°,-58.2°,-59.6°,-59.6°,-59.5°,-51.0°,-38.7°,-28.3°,-49.5,-49.4,-0.1
-172.750,-89.750,-27.7,-40.2°,-53.6°,-57.0°,-57.2°,-57.7°,-59.1°,-59.1°,-59.0°,-50.5°,-38.1°,-27.7°,-49.0,-48.9,-0.1
-172.250,66.750,-22.2,-23.1°,-17.0°,-16.7°,-7.7°,1.6°,5.2°,4.2°,2.4°,-4.3°,-11.2°,-19.5°,-9.0,-9.0,0.0
-172.250,66.250,-21.7,-23.2°,-18.9°,-15.8°,-7.2°,0.8°,4.6°,3.8°,1.2°,-5.1°,-12.1°,-19.1°,-9.3,-9.4,0.1
-172.250,65.750,-19.7,-21.4°,-18.5°,-13.5°,-5.7°,1.6°,5.6°,4.7°,1.6°,-4.7°,-11.6°,-17.1°,-8.1,-8.2,0.1
-172.250,65.250,-16.2,-18.1°,-16.0°,-10.4°,-2.7°,3.7°,7.7°,7.0°,3.6°,-2.5°,-8.9°,-14.1°,-5.5,-5.6,0.1
-172.250,64.750,-14.4,-16.5°,-14.8°,-9.4°,-1.6°,3.9°,8.0°,7.6°,4.1°,-1.7°,-7.6°,-12.9°,-4.6,-4.6,0.0
-172.250,-13.750,27.4,27.1°,26.6°,26.5°,25.8°,25.0°,25.2°,24.7°,25.4°,26.1°,26.5°,27.2°,26.1,26.1,0.0
-172.250,-83.250,-5.3,-12.5°,-22.7°,-27.9°,-29.6°,-29.1°,-33.6°,-34.0°,-32.8°,-23.9°,-13.5°,-5.3°,-22.6,-22.5,-0.1
-172.250,-84.750,-12.8,-21.1°,-32.0°,-36.7°,-38.1°,-37.8°,-41.7°,-41.9°,-41.0°,-32.2°,-21.4°,-12.8°,-30.8,-30.8,0.0
-172.250,-85.250,-23.2,-32.1°,-43.3°,-47.7°,-48.9°,-48.8°,-52.2°,-52.5°,-51.8°,-43.1°,-32.1°,-23.2°,-41.6,-41.6,0.0
-172.250,-85.750,-24.3,-33.9°,-45.4°,-49.6°,-50.6°,-50.6°,-53.7°,-54.0°,-53.3°,-44.7°,-33.5°,-24.3°,-43.3,-43.2,-0.1
-172.250,-86.250,-24.2,-34.4°,-46.3°,-50.3°,-51.0°,-51.2°,-53.9°,-54.1°,-53.6°,-45.0°,-33.6°,-24.1°,-43.6,-43.5,-0.1
-172.250,-86.750,-25.6,-36.3°,-48.5°,-52.3°,-53.0°,-53.2°,-55.6°,-55.8°,-55.3°,-46.8°,-35.2°,-25.5°,-45.4,-45.3,-0.1
-172.250,-87.250,-26.8,-38.1°,-50.7°,-54.4°,-54.8°,-55.2°,-57.3°,-57.4°,-57.1°,-48.6°,-36.7°,-26.8°,-47.1,-47.0,-0.1
-172.250,-87.750,-28.2,-39.9°,-52.8°,-56.3°,-56.7°,-57.1°,-59.0°,-59.0°,-58.7°,-50.3°,-38.3°,-28.2°,-48.8,-48.7,-0.1
-172.250,-88.250,-29.2,-41.2°,-54.3°,-57.7°,-58.0°,-58.6°,-60.2°,-60.2°,-60.0°,-51.6°,-39.4°,-29.2°,-50.0,-50.0,0.0
-172.250,-88.750,-28.9,-41.0°,-54.3°,-57.8°,-58.0°,-58.5°,-60.0°,-60.0°,-59.9°,-51.4°,-39.1°,-28.8°,-49.9,-49.8,-0.1
-172.250,-89.250,-28.3,-40.7°,-54.0°,-57.4°,-57.6°,-58.2°,-59.6°,-59.6°,-59.5°,-51.0°,-38.7°,-28.3°,-49.5,-49.4,-0.1
-172.250,-89.750,-27.7,-40.2°,-53.6°,-57.0°,-57.2°,-57.7°,-59.1°,-59.1°,-59.0°,-50.5°,-38.1°,-27.7°,-49.0,-48.9,-0.1
-171.750,66.750,-21.9,-23.1°,-18.0°,-16.1°,-7.2°,1.5°,5.2°,4.3°,2.1°,-4.3°,-11.3°,-19.1°,-8.9,-9.0,0.1
-171.750,66.250,-21.6,-23.3°,-19.6°,-15.5°,-6.9°,0.6°,4.5°,3.8°,1.0°,-5.1°,-12.1°,-18.9°,-9.3,-9.4,0.1
-171.750,65.750,-20.4,-21.8°,-19.3°,-13.7°,-6.1°,1.1°,5.1°,4.1°,0.9°,-5.4°,-12.2°,-17.3°,-8.7,-8.8,0.1
-171.750,-84.750,-9.6,-18.0°,-28.8°,-33.5°,-34.9°,-34.6°,-38.4°,-38.6°,-37.8°,-29.0°,-18.3°,-9.7°,-27.6,-27.6,0.0
-171.750,-85.250,-23.3,-32.2°,-43.4°,-47.9°,-49.0°,-48.9°,-52.3°,-52.6°,-51.9°,-43.2°,-32.2°,-23.4°,-41.7,-41.7,0.0
-171.750,-85.750,-24.4,-33.9°,-45.5°,-49.7°,-50.7°,-50.7°,-53.8°,-54.1°,-53.4°,-44.8°,-33.5°,-24.4°,-43.4,-43.2,-0.2
-171.750,-86.250,-24.0,-34.2°,-46.1°,-50.1°,-50.9°,-51.0°,-53.7°,-53.9°,-53.4°,-44.8°,-33.4°,-23.9°,-43.4,-43.3,-0.1
-171.750,-86.750,-25.4,-36.0°,-48.2°,-52.1°,-52.8°,-53.0°,-55.4°,-55.6°,-55.1°,-46.6°,-35.0°,-25.3°,-45.1,-45.0,-0.1
-171.750,-87.250,-26.8,-38.1°,-50.7°,-54.3°,-54.8°,-55.2°,-57.2°,-57.4°,-57.0°,-48.5°,-36.7°,-26.8°,-47.0,-47.0,0.0
-171.750,-87.750,-28.2,-39.8°,-52.8°,-56.3°,-56.7°,-57.1°,-58.9°,-59.0°,-58.7°,-50.3°,-38.2°,-28.2°,-48.7,-48.7,0.0
-171.750,-88.250,-29.2,-41.2°,-54.3°,-57.7°,-58.0°,-58.6°,-60.2°,-60.2°,-60.0°,-51.6°,-39.4°,-29.2°,-51.0,-50.0,-1.0
-171.750,-88.750,-28.9,-41.1°,-54.4°,-57.8°,-58.0°,-58.6°,-60.1°,-60.1°,-60.0°,-51.4°,-39.2°,-28.8°,-50.0,-49.9,-0.1
-171.750,-89.250,-28.3,-40.7°,-54.0°,-57.4°,-57.6°,-58.2°,-59.5°,-59.6°,-59.4°,-51.0°,-38.7°,-28.3°,-49.5,-49.4,-0.1
-171.750,-89.750,-27.7,-40.2°,-53.6°,-57.0°,-57.2°,-57.7°,-59.1°,-59.1°,-59.0°,-50.5°,-38.1°,-27.7°,-49.0,-48.9,-0.1
-171.250,66.250,-20.3,-22.3°,-19.1°,-14.1°,-5.5°,1.7°,5.7°,5.0°,2.1°,-3.9°,-11.0°,-17.7°,-8.1,-8.3,0.2
